"id","X","Y","Unique_Squirrel_ID","Shift","Date","Age","Primary_Fur_Color","Location","Specific_Location","Running","Chasing","Climbing","Eating","Foraging","Other_Activities","Kuks","Quaas","Moans","Tail_flags","Tail_twitches","Approaches","Indifferent","Runs_from"
"80","-73.96884544835850","40.78453012881630","22A-AM-1008-05","AM","2018-10-08","Adult","Gray","Above Ground","trash can","False","False","False","True","False","","False","False","False","True","False","False","False","True"
"81","-73.95782371683590","40.79809594710340","40B-PM-1014-06","PM","2018-10-14","Adult","Gray","Ground Plane","","True","False","False","False","False","","False","False","False","False","False","False","True","False"
"82","-73.96882712024010","40.78097194453090","19C-PM-1018-01","PM","2018-10-18","Adult","Gray","Ground Plane","","True","True","False","True","False","","False","False","False","False","True","False","True","False"
"83","-73.96170887499280","40.79445850823670","35A-PM-1013-06","PM","2018-10-13","Adult","Cinnamon","Ground Plane","","True","False","False","False","False","","False","False","False","False","False","False","False","True"
"84","-73.97018248258720","40.77665305792930","14E-AM-1008-09","AM","2018-10-08","Adult","Gray","Ground Plane","","True","True","False","False","False","","True","False","False","False","False","False","False","True"
"85","-73.96764104974810","40.77660435129740","15G-PM-1019-05","PM","2018-10-19","Adult","Gray","Above Ground","","False","False","True","False","False","","False","False","False","False","False","False","False","False"
"86","-73.97087260507210","40.77235720302360","10F-AM-1007-02","AM","2018-10-07","Adult","Gray","Above Ground","","False","False","True","False","False","","False","False","False","False","False","False","False","False"
"87","-73.95414534658170","40.79821622237640","42E-PM-1012-06","PM","2018-10-12","Adult","Cinnamon","Ground Plane","","True","False","False","False","True","","False","False","False","False","False","False","False","True"
"88","-73.96836082959760","40.78429274053270","22B-AM-1013-04","AM","2018-10-13","Adult","Cinnamon","Ground Plane","Under bench","False","False","False","False","True","","False","False","False","False","False","False","False","True"
"89","-73.96805205798900","40.77733866652800","15F-PM-1010-06","PM","2018-10-10","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"90","-73.97871808707360","40.77158778632740","5A-AM-1006-05","AM","2018-10-06","Adult","Gray","Ground Plane","near 65th St arch","False","False","False","False","True","","False","False","False","True","False","False","False","True"
"91","-73.95659058682760","40.78956540685460","32H-PM-1006-01","PM","2018-10-06","","Gray","Above Ground","in the European Beech","False","False","True","False","False","","False","False","False","False","False","False","False","False"
"92","-73.95657597336110","40.79924616748020","42C-AM-1007-02","AM","2018-10-07","","","","","False","False","False","False","False","","False","True","False","False","False","False","False","False"
"93","-73.95515394983060","40.79873846562560","41D-AM-1014-01","AM","2018-10-14","Adult","Gray","Ground Plane","","False","False","False","False","True","digging","False","False","False","False","False","False","True","False"
"94","-73.96419718139670","40.78135379594350","21G-PM-1007-01","PM","2018-10-07","Adult","Gray","Ground Plane","","False","False","False","True","False","","False","False","False","True","False","False","True","False"
"95","-73.96928839709280","40.77685537030820","14E-AM-1008-02","AM","2018-10-08","Adult","Gray","Ground Plane","","True","False","False","False","True","walking","False","False","False","False","False","False","False","True"
"96","-73.97085496707880","40.76995870190580","7H-PM-1006-04","PM","2018-10-06","Adult","Gray","Above Ground","on tree knob","False","False","False","False","False","sitting","False","False","False","False","False","False","True","False"
"97","-73.96397440056470","40.78251119507640","22F-AM-1007-01","AM","2018-10-07","Adult","Gray","Ground Plane","","False","False","True","False","True","","False","False","False","False","False","False","True","False"
"98","-73.97302779114220","40.77121454888280","7F-AM-1008-16","AM","2018-10-08","Juvenile","Gray","Above Ground","tree","False","False","False","False","False","","False","False","False","False","False","False","False","True"
"99","-73.97105414057080","40.77246916057180","10F-PM-1019-05","PM","2018-10-19","Adult","Black","Above Ground","Behind fence, tree","False","False","True","False","False","","False","False","False","False","False","False","True","False"
"100","-73.97615925324820","40.77472135853870","10A-AM-1006-04","AM","2018-10-06","Juvenile","Gray","Above Ground","tree near large rock on Bridle Path","False","False","False","False","False","walking on branch","False","False","False","False","True","False","False","False"
"101","-73.95440076586850","40.79506897231350","38F-PM-1013-05","PM","2018-10-13","Juvenile","Gray","Ground Plane","","False","False","False","False","True","being chased,was pushed by other squirrel","True","True","False","False","False","False","False","False"
"102","-73.95759861613640","40.79936813496800","41B-PM-1014-01","PM","2018-10-14","Adult","Gray","Above Ground","Climbing tree","False","False","True","False","False","climbing (tree)","False","False","False","False","False","False","False","True"
"103","-73.96077013704430","40.79554189908550","36A-PM-1013-07","PM","2018-10-13","","Gray","Ground Plane","""FIELD""","False","True","False","False","False","chasing #8","False","False","False","False","False","False","False","True"
"104","-73.97640365229840","40.77058461851210","5C-AM-1006-05","AM","2018-10-06","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"105","-73.95892495552350","40.79081932849810","32E-PM-1017-03","PM","2018-10-17","Adult","Gray","Above Ground","bottom of tree","False","False","False","True","False","still","False","False","False","False","False","False","True","False"
"106","-73.96346234187610","40.79176854044820","31A-PM-1017-04","PM","2018-10-17","Adult","Gray","Ground Plane","","False","False","False","True","True","","False","False","False","False","False","False","False","False"
"107","-73.95211101548720","40.79784491433130","42G-AM-1018-03","AM","2018-10-18","Adult","Gray","Ground Plane","","True","False","False","False","False","stop to look at me—then ran","False","False","False","False","False","False","False","True"
"108","-73.95748090282480","40.79500136202070","37D-PM-1014-04","PM","2018-10-14","Adult","Gray","Ground Plane","","False","True","False","False","True","chasing (a chipmunk)","False","False","False","False","False","False","False","True"
"109","-73.96709759270700","40.78541193425380","24B-AM-1013-01","AM","2018-10-13","","Gray","Above Ground","","True","False","False","True","False","took nut to bury","False","False","False","False","True","False","False","True"
"110","-73.97113187902790","40.77019415502730","7G-AM-1010-02","AM","2018-10-10","Adult","Gray","Above Ground","","True","False","False","False","False","","False","False","False","False","True","False","False","True"
"111","-73.97632433837710","40.77054093157030","5C-PM-1010-13","PM","2018-10-10","Adult","Gray","Above Ground","way up a tree!","False","False","True","False","False","","False","False","False","False","False","False","False","False"
"112","-73.96517544644390","40.77551819415590","15I-AM-1008-01","AM","2018-10-08","Adult","Gray","Above Ground","tree","False","False","True","True","False","","False","False","False","False","False","False","True","False"
"113","-73.97001006176020","40.78157399593570","19B-PM-1018-01","PM","2018-10-18","Adult","Gray","Above Ground","","True","False","False","False","False","flying","False","False","False","False","False","False","False","False"
"114","-73.97190561821400","40.77623854706300","13D-PM-1018-10","PM","2018-10-18","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","True","False","True","False"
"115","-73.95300409235550","40.79228961769360","36I-PM-1007-10","PM","2018-10-07","Juvenile","Gray","Ground Plane","","False","False","False","True","False","stole (found?) an entire sandwich","False","False","False","False","False","False","True","False"
"116","-73.95720937605290","40.79884873002160","41B-AM-1010-06","AM","2018-10-10","Adult","Gray","Above Ground","","False","False","True","False","False","","False","False","False","False","False","False","False","False"
"117","-73.96077463379790","40.79395810693820","35B-AM-1010-01","AM","2018-10-10","Adult","Gray","Ground Plane","lawn","False","False","False","False","False","walking w/ something in mouth","False","False","False","False","False","False","True","False"
"118","-73.95663460464530","40.79739233965120","40D-PM-1013-01","PM","2018-10-13","Adult","Gray","Ground Plane","","True","False","False","False","False","","False","False","False","False","False","False","False","False"
"119","-73.95920388876730","40.79638267537800","38B-PM-1018-02","PM","2018-10-18","Adult","Gray","Ground Plane","","False","False","False","False","True","burying nut","False","False","False","False","False","False","False","False"
"120","-73.95111187111080","40.79508133459020","40I-AM-1018-01","AM","2018-10-18","Adult","Cinnamon","Ground Plane","","True","False","False","False","True","begging","False","False","False","False","False","False","False","False"
"121","-73.97699397963820","40.77295375730350","7B-AM-1008-10","AM","2018-10-08","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"122","-73.97125278095160","40.77633103925910","13D-AM-1014-08","AM","2018-10-14","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","False","True"
"123","-73.96711470900870","40.77726246411120","16G-AM-1010-03","AM","2018-10-10","Adult","Gray","Ground Plane","","False","False","False","False","True","was hanging out w/ #2 until i showed up","True","False","False","False","False","False","False","True"
"124","-73.95886602502320","40.79825979475150","40A-AM-1010-03","AM","2018-10-10","Adult","Gray","Ground Plane","bottom of great hill","False","False","False","True","True","","False","False","False","True","False","False","True","True"
"125","-73.96516015417950","40.77618417880250","15I-PM-1012-07","PM","2018-10-12","Adult","Cinnamon","Ground Plane","","True","False","False","False","True","","False","False","False","False","False","False","False","False"
"126","-73.97921554736890","40.76937117999460","3B-PM-1007-11","PM","2018-10-07","Adult","Gray","Above Ground","in tree","False","False","True","False","False","","False","False","False","False","False","False","False","False"
"127","-73.96641005044360","40.78287788922760","21D-AM-1008-02","AM","2018-10-08","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","True","False","True","False"
"128","-73.97462290946430","40.77484670619690","10B-PM-1014-05","PM","2018-10-14","Adult","Gray","Ground Plane","","False","False","False","True","True","","False","False","False","False","True","False","False","False"
"129","-73.97050929588920","40.77610929729650","13E-PM-1008-07","PM","2018-10-08","Adult","Gray","Ground Plane","","False","False","False","True","True","","False","False","False","False","False","False","True","False"
"130","-73.95816559494370","40.79977081900220","41A-PM-1007-06","PM","2018-10-07","Adult","Black","Ground Plane","","True","False","True","True","False","","False","False","False","False","False","False","False","True"
"131","-73.97555607862270","40.76629923175750","2F-AM-1006-05","AM","2018-10-06","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","False","False"
"132","-73.96964335339860","40.78282080838040","20B-AM-1007-01","AM","2018-10-07","Adult","Gray","Ground Plane","","False","False","False","False","True","quietly","False","False","False","False","False","False","True","False"
"133","-73.96647116070220","40.78789642876800","26A-PM-1006-06","PM","2018-10-06","Adult","Gray","Ground Plane","Tree 90th left 90th & 89","False","False","True","False","False","","False","False","False","True","False","False","False","False"
"134","-73.95759438155640","40.79337552667870","35E-PM-1006-07","PM","2018-10-06","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","True"
"135","-73.96941681186430","40.77288773779770","11G-PM-1013-01","PM","2018-10-13","Adult","Gray","Above Ground","In the Woods/Brush","False","False","True","False","True","","False","False","False","False","False","False","False","True"
"136","-73.95286825077940","40.79258078083070","36I-PM-1007-13","PM","2018-10-07","Adult","Gray","Ground Plane","","False","False","False","True","False","","False","False","False","False","True","True","False","False"
"137","-73.97824171151390","40.77246650364470","7A-AM-1006-01","AM","2018-10-06","Adult","Gray","Above Ground","in tree","False","False","False","False","True","","False","True","False","False","True","False","False","False"
"138","-73.97214429397970","40.77007508023170","7G-PM-1018-03","PM","2018-10-18","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","False","False"
"139","-73.96984738086500","40.77698846123050","14E-AM-1008-05","AM","2018-10-08","Adult","Gray","Above Ground","","False","False","True","False","False","nest building","False","False","False","False","False","False","True","False"
"140","-73.97686527856640","40.76848381682070","3D-PM-1010-03","PM","2018-10-10","Adult","Cinnamon","Ground Plane","","False","False","False","False","False","","False","False","False","False","False","False","False","False"
"141","-73.95909928414230","40.79375809857300","35D-PM-1013-09","PM","2018-10-13","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"142","-73.97240639867710","40.77057118979770","7F-PM-1012-01","PM","2018-10-12","Adult","Gray","Ground Plane","","True","False","False","False","False","","False","False","False","False","False","False","True","False"
"143","-73.96613613106770","40.77878725611770","18G-PM-1013-01","PM","2018-10-13","Adult","Gray","Ground Plane","","False","False","False","True","True","burying","False","False","False","False","False","False","False","True"
"144","-73.97307506012120","40.77013042119440","6F-PM-1008-01","PM","2018-10-08","Adult","Gray","Above Ground","","False","True","False","False","False","","False","False","False","False","False","False","False","False"
"145","-73.97197067061400","40.77208681245440","9F-AM-1013-04","AM","2018-10-13","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","False","False"
"146","-73.95621174551000","40.79510443782070","38E-AM-1010-09","AM","2018-10-10","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"147","-73.95640236266190","40.79054235461550","33G-AM-1013-02","AM","2018-10-13","Adult","Gray","Above Ground","shelter in hole in tree","False","False","True","False","False","","False","False","False","False","False","False","True","True"
"148","-73.95326201283070","40.79524755480480","39G-AM-1018-01","AM","2018-10-18","Adult","Gray","Ground Plane","","False","False","False","False","False","dead (something ran over it)","False","False","False","False","False","False","False","False"
"149","-73.95763493213570","40.79044099124370","32G-PM-1013-03","PM","2018-10-13","Juvenile","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"150","-73.97634308293420","40.76863510971590","4D-PM-1008-11","PM","2018-10-08","Adult","Cinnamon","Above Ground","on tree facing downward","False","True","False","False","False","chased #12","True","False","False","True","False","False","False","True"
"151","-73.97147891367570","40.76948866451940","6H-AM-1008-01","AM","2018-10-08","Adult","Cinnamon","Ground Plane","","False","False","False","True","False","","False","False","False","False","False","False","False","False"
"152","-73.97551337106650","40.76978834359810","5E-AM-1008-08","AM","2018-10-08","Adult","Gray","Ground Plane","","True","False","False","False","False","","False","False","False","False","False","False","True","False"
"153","-73.97023489828030","40.77732954191040","15D-PM-1017-01","PM","2018-10-17","Adult","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","False","False","True","False"
"154","-73.96860560852970","40.77816584248660","16E-AM-1014-03","AM","2018-10-14","Adult","Gray","Ground Plane","","False","False","False","True","True","","False","False","False","False","False","True","False","False"
"155","-73.95221423603880","40.79495984866830","39H-PM-1013-02","PM","2018-10-13","Juvenile","Gray","Ground Plane","","False","False","False","False","True","","False","False","False","False","True","False","True","False"
